wkt_geom	tid	big_slope	curvature	width_change
Polygon ((192105 442335, 192110 442335, 192110 442330, 192105 442330, 192105 442335))	35322	-0.031133349984884262	-0.006104030646383762	0.05421031266450882
Polygon ((192110 442345, 192115 442345, 192115 442340, 192110 442340, 192110 442345))	35324	-0.034827783703804016	0.00460397731512785	0.030770018696784973
Polygon ((192110 442350, 192115 442350, 192115 442345, 192110 442345, 192110 442350))	35325	-0.03196752071380615	-0.01251996960490942	0.055243588984012604
Polygon ((192110 442355, 192115 442355, 192115 442350, 192110 442350, 192110 442355))	35326	-0.021178539842367172	0.011483955197036266	0.04918297380208969
Polygon ((192110 442360, 192115 442360, 192115 442355, 192110 442355, 192110 442360))	35327	0.008383755572140217	-0.006619949359446764	0.08371295779943466
Polygon ((192110 442365, 192115 442365, 192115 442360, 192110 442360, 192110 442365))	35328	0.030489901080727577	-0.017268028110265732	0.0704052522778511
Polygon ((192110 442370, 192115 442370, 192115 442365, 192110 442365, 192110 442370))	35329	0.026264674961566925	0	0.05219312384724617
Polygon ((192090 442320, 192095 442320, 192095 442315, 192090 442315, 192090 442320))	35330	0.03860683739185333	0.003903999226167798	0.06483657658100128
Polygon ((192090 442325, 192095 442325, 192095 442320, 192090 442320, 192090 442325))	35331	0.03473183885216713	0.009619960561394691	0.10539798438549042
Polygon ((192090 442330, 192095 442330, 192095 442325, 192090 442325, 192090 442330))	35332	0.02585694007575512	-0.022736014798283577	0.1358497440814972
Polygon ((192090 442335, 192095 442335, 192095 442330, 192090 442330, 192090 442335))	35333	-0.003410184057429433	0.0011520194821059704	0.1558135449886322
Polygon ((192090 442340, 192095 442340, 192095 442335, 192090 442335, 192090 442340))	35334	-0.010105041787028313	0.006060008890926838	0.13221248984336853
Polygon ((192095 442355, 192100 442355, 192100 442350, 192095 442350, 192095 442355))	35337	-0.03513010963797569	0.0026120184920728207	0.1364530473947525
Polygon ((192095 442360, 192100 442360, 192100 442355, 192095 442355, 192095 442360))	35338	-0.03963059186935425	-0.01099597942084074	0.10754130035638809
Polygon ((192095 442365, 192100 442365, 192100 442360, 192095 442360, 192095 442365))	35339	-0.02363133616745472	0.008964004926383495	0.1190820261836052
Polygon ((192095 442370, 192100 442370, 192100 442365, 192095 442365, 192095 442370))	35340	0.006579392123967409	-0.00014799117343500257	0.03226751461625099
Polygon ((192095 442375, 192100 442375, 192100 442370, 192095 442370, 192095 442375))	35341	0.022270284593105316	-0.007824020460247993	-0.025848766788840294
Polygon ((192095 442315, 192100 442315, 192100 442310, 192095 442310, 192095 442315))	35342	0.04114947095513344	0	0.010962861590087414
Polygon ((192095 442320, 192100 442320, 192100 442315, 192095 442315, 192095 442320))	35343	0.04759155213832855	-0.0012999725295230746	0.05232162028551102
Polygon ((192095 442325, 192100 442325, 192100 442320, 192095 442320, 192095 442325))	35344	0.04051554575562477	-0.0050679780542850494	0.06807057559490204
Polygon ((192095 442330, 192100 442330, 192100 442325, 192095 442325, 192095 442330))	35345	0.013829665258526802	-0.005612011067569256	0.1162189170718193
Polygon ((192095 442335, 192100 442335, 192100 442330, 192095 442330, 192095 442335))	35346	-0.005801467690616846	0.015868015587329865	0.14793111383914948
Polygon ((192095 442340, 192100 442340, 192100 442335, 192095 442335, 192095 442340))	35347	-0.010094169527292252	-0.005012035369873047	0.14548605680465698
Polygon ((192100 442350, 192105 442350, 192105 442345, 192100 442345, 192100 442350))	35350	-0.029969509690999985	0.0016199684469029307	0.14134320616722107
Polygon ((192100 442355, 192105 442355, 192105 442350, 192100 442350, 192100 442355))	35351	-0.035105492919683456	-0.011540012434124947	0.15368890762329102
Polygon ((192100 442360, 192105 442360, 192105 442355, 192100 442355, 192100 442360))	35352	-0.026755543425679207	-0.001200008438900113	0.12926383316516876
Polygon ((192100 442365, 192105 442365, 192105 442360, 192100 442360, 192100 442365))	35353	-0.004877307917922735	0.003752002725377679	0.06683313846588135
Polygon ((192100 442370, 192105 442370, 192105 442365, 192100 442365, 192100 442370))	35354	0.022579375654459	-0.01751600205898285	0.07669924199581146
Polygon ((192100 442375, 192105 442375, 192105 442370, 192100 442370, 192100 442375))	35355	0.018648002296686172	0	0.013712622225284576
Polygon ((192080 442325, 192085 442325, 192085 442320, 192080 442320, 192080 442325))	35356	0.04368668422102928	0.0016999817453324795	0.0624709390103817
Polygon ((192080 442330, 192085 442330, 192085 442325, 192080 442325, 192080 442330))	35357	0.04087173938751221	0.013731975108385086	0.06121208891272545
Polygon ((192080 442335, 192085 442335, 192085 442330, 192080 442330, 192080 442335))	35358	0.03378982096910477	-0.0010520172072574496	0.12299419194459915
Polygon ((192080 442340, 192085 442340, 192085 442335, 192080 442335, 192080 442340))	35359	0.010226265527307987	-0.006256008055061102	0.07366349548101425
