tid,slope,roughness,bed_level_x,aspect,bed_level_y,change,change_norm,predicted_target_norm,predicted_target
36633,1.9478,0.0025,7.4807,24.1808,7.4858,0.0051000000000005485,-0.19395159522572658,0.06539537,0.026448902
36634,5.9951,0.0077,7.2629,42.7182,7.2232,-0.039699999999999847,-0.7381830475184519,-0.3197161,-0.0052526724
36635,7.7447,0.0076,6.7215,39.9735,6.8124,0.09090000000000042,0.8483488201027412,-0.31782663,-0.005097134
36636,2.0779,0.0024,6.5952,96.8192,6.7215,0.12629999999999963,1.2783888516018902,0.09851615,0.029175336
36637,2.1423,0.0018,6.7271,180.79,6.7699,0.04279999999999973,0.2640288902973787,0.0043754876,0.021425873
36638,0.9577,0.0008,6.7236,304.854,6.7755,0.051899999999999835,0.3745759040443389,0.26011676,0.04247796
36639,0.8498,0.0008,6.7245,249.388,6.7702,0.045700000000000074,0.2992581584145456,0.22547166,0.03962605
36642,1.8978,0.0008,8.0115,190.807,7.9949,-0.016599999999999504,-0.4575637049300137,0.29595423,0.045428026
36643,1.2899,0.0013,6.7327,69.5856,6.8238,0.09109999999999996,0.850778424800471,0.31818986,0.047258418
36644,0.9841,0.001,6.7439,188.374,6.85,0.10609999999999964,1.032998777130619,0.22471616,0.039563857
36645,2.8466,0.0027,6.7564,224.048,6.8938,0.13739999999999952,1.4132319123262014,-0.074668586,0.014919129
36646,5.1365,0.0046,6.9908,218.771,7.0195,0.028699999999999726,0.09274175910703586,-0.22026001,0.002934346
36647,1.2585,0.0027,7.24,224.792,7.2145,-0.025500000000000078,-0.5656811139792441,-0.04273072,0.017548189
36648,2.8453,0.0032,7.3302,239.949,7.3285,-0.0016999999999995907,-0.2765581549487305,-0.15639326,0.008191724
36649,4.2752,0.0051,7.4804,239.99,7.4533,-0.02710000000000079,-0.5851179515611357,-0.2660613,-0.0008359216
36650,5.909,0.006,7.7005,239.497,7.6638,-0.03669999999999973,-0.70173897705242,-0.33932322,-0.00686669
36652,1.5898,0.0011,7.9952,228.158,8.1088,0.11360000000000081,1.1241089532957091,0.20328732,0.03779988
36653,1.3493,0.0015,8.0126,64.8682,7.9759,-0.03670000000000062,-0.7017389770524308,0.29100832,0.045020893
36654,3.8431,0.0059,7.9327,46.8034,7.8176,-0.11509999999999998,-1.654144018564684,-0.21836345,0.0030904673
36655,12.8796,0.0119,7.4396,45.5796,7.402,-0.0376000000000003,-0.712672198192236,-0.7600542,-0.041500386
36656,3.6413,0.0059,6.9005,42.4116,6.9803,0.07979999999999965,0.7135057593784193,-0.13643838,0.009834368
36657,1.7397,0.0015,6.8276,45.8749,6.8958,0.06820000000000004,0.5725886869097732,0.24619366,0.041331843
36658,1.9096,0.0015,6.7847,51.7392,6.8519,0.0671999999999997,0.5604406634210923,0.23051983,0.040041603
36659,4.2119,0.0049,7.4105,225.478,7.4005,-0.009999999999999787,-0.3773867499047503,-0.2432972,0.001037972
36660,5.2945,0.006,7.6381,234.441,7.6071,-0.030999999999999694,-0.6324952431669618,-0.32285196,-0.005510809
36661,5.1486,0.0052,7.8716,238.752,7.8878,0.016200000000000436,-0.05910853450141548,-0.29842204,-0.0034997892
36664,3.4624,0.0054,6.9173,42.0352,6.9696,0.05229999999999979,0.37943511343980907,-0.10621528,0.01232227
36665,2.4623,0.0021,6.8354,45.8798,6.8851,0.04970000000000052,0.34785025236925826,0.11222452,0.03030378
